0 , 0 , -0.000386477 , -0.00195546 , 0 , 0 , 0.000208494 , 0.00107858 , 5.29337e-05 , 0.000273767 , 0.016412 , 0.0836923 , 1.05867e-06 , 5.47535e-06 , 0.00032824 , 0.00167385 , 8.43879e-05 , 0.000430409 , -0.05
0 , 0 , -0.000718959 , -0.00375793 , 0 , 0 , 0.00021546 , 0.00111452 , 0.000475298 , 0.00245726 , 0.0257755 , 0.134404 , 1.05646e-05 , 5.46206e-05 , 0.00084375 , 0.00436193 , 0.000224765 , 0.00116197 , -0.05
0 , 0 , -0.000692006 , -0.00358828 , 0 , 0 , 0.000231957 , 0.0012 , 0.000988376 , 0.00512447 , 0.0254871 , 0.132082 , 3.03321e-05 , 0.00015711 , 0.00135349 , 0.00700357 , 0.000373939 , 0.00193509 , -0.05
0 , 0 , -0.000620725 , -0.00320686 , 0 , 0 , 0.000258454 , 0.00133732 , 0.00148618 , 0.00770094 , 0.0242517 , 0.125349 , 6.00558e-05 , 0.000311129 , 0.00183853 , 0.00951055 , 0.000526797 , 0.00272554 , -0.05
0 , 0 , -0.000547855 , -0.0028277 , 0 , 0 , 0.000294544 , 0.00152425 , 0.00196146 , 0.0101569 , 0.0232372 , 0.120046 , 9.92849e-05 , 0.000514267 , 0.00230327 , 0.0119115 , 0.000684009 , 0.0035382 , -0.05
0 , 0 , -0.000476276 , -0.0024579 , 0 , 0 , 0.000339836 , 0.00175872 , 0.00241931 , 0.0125223 , 0.022512 , 0.116313 , 0.000147671 , 0.000764713 , 0.00275351 , 0.0142377 , 0.000846696 , 0.00437921 , -0.05
0 , 0 , -0.000405123 , -0.00209071 , 0 , 0 , 0.000394046 , 0.00203927 , 0.0028652 , 0.0148264 , 0.0220447 , 0.113923 , 0.000204975 , 0.00106124 , 0.0031944 , 0.0165162 , 0.00101593 , 0.00525416 , -0.05
0 , 0 , -0.000333812 , -0.00172277 , 0 , 0 , 0.000456993 , 0.00236497 , 0.00330409 , 0.0170948 , 0.021814 , 0.112758 , 0.000271057 , 0.00140314 , 0.00363068 , 0.0187714 , 0.00119277 , 0.00616857 , -0.05
0 , 0 , -0.000262014 , -0.00135242 , 0 , 0 , 0.000528593 , 0.0027354 , 0.0037406 , 0.0193515 , 0.0218085 , 0.112761 , 0.000345869 , 0.00179017 , 0.00406685 , 0.0210266 , 0.00137831 , 0.00712812 , -0.05
0 , 0 , -0.000189469 , -0.000978343 , 0 , 0 , 0.000608848 , 0.00315058 , 0.00417916 , 0.0216193 , 0.0220212 , 0.113894 , 0.000429452 , 0.00222255 , 0.00450728 , 0.0233045 , 0.0015737 , 0.00813879 , -0.05
0 , 0 , -0.000115909 , -0.000599165 , 0 , 0 , 0.00069785 , 0.003611 , 0.00462408 , 0.0239209 , 0.0224471 , 0.116135 , 0.000521934 , 0.00270097 , 0.00495622 , 0.0256272 , 0.00178015 , 0.00920687 , -0.05
0 , 0 , -4.10504e-05 , -0.000213391 , 0 , 0 , 0.000795775 , 0.00411759 , 0.00507961 , 0.0262781 , 0.0230834 , 0.119468 , 0.000623526 , 0.00322653 , 0.00541789 , 0.0280166 , 0.00199895 , 0.010339 , -0.05
0 , 0 , 3.54153e-05 , 0.000180603 , 0 , 0 , 0.000902882 , 0.0046717 , 0.00554994 , 0.0287127 , 0.0239286 , 0.123885 , 0.000734525 , 0.00380079 , 0.00589646 , 0.0304942 , 0.00223144 , 0.0115423 , -0.05
0 , 0 , 0.000113819 , 0.000584563 , 0 , 0 , 0.00101952 , 0.00527513 , 0.00603925 , 0.0312464 , 0.0249832 , 0.129387 , 0.00085531 , 0.00442571 , 0.00639612 , 0.033082 , 0.00247907 , 0.0128241 , -0.05
0 , 0 , 0.000194515 , 0.00100037 , 0 , 0 , 0.0011461 , 0.0059301 , 0.00655174 , 0.033901 , 0.026249 , 0.135984 , 0.000986344 , 0.00510373 , 0.0069211 , 0.0358017 , 0.00274338 , 0.0141926 , -0.05
0 , 0 , 0.000277882 , 0.00143003 , 0 , 0 , 0.00128315 , 0.00663927 , 0.00709169 , 0.0366986 , 0.0277298 , 0.143694 , 0.00112818 , 0.0058377 , 0.0074757 , 0.0386755 , 0.00302601 , 0.0156561 , -0.05
0 , 0 , 0.000364326 , 0.00187572 , 0 , 0 , 0.00143126 , 0.00740574 , 0.00766345 , 0.0396617 , 0.0294308 , 0.152543 , 0.00128145 , 0.00663094 , 0.00806431 , 0.0417264 , 0.00332871 , 0.0172239 , -0.05
0 , 0 , 0.000454278 , 0.00233975 , 0 , 0 , 0.00159111 , 0.00823309 , 0.00827149 , 0.0428135 , 0.0313589 , 0.162565 , 0.00144688 , 0.00748721 , 0.00869149 , 0.0449777 , 0.00365336 , 0.0189056 , -0.05
